idx,gnn_in_dim,gnn_hidden_dim,gnn_out_dim,gnn_num_layers,mlp_in_dim,mlp_hidden_dim,mlp_out_dim,mlp_num_layers,gnn_p_in,gnn_p_hidden,gnn_p_out,mlp_p_in,mlp_p_hidden,mlp_p_out,conv,gnn_skip_connections,median_nodes,median_edges,median_degree,runtime_synth,bram,dsp,build_idx,vitis_tool_runtime,latency_pred,bram_pred,sklearn_latency_infrence_time,sklearn_bram_infrence_time
231899,11,64,256,4,768,128,19,3,1,8,8,4,8,1,sage,True,12,24,1,0.00015906411,899,578,231899,1039.5,173.81819720454297,889.1,0.0017285993333333333,0.0017342357777777777
232098,11,64,256,4,768,256,19,2,1,4,2,8,2,1,sage,True,12,24,1,0.00039056904,483,120,232098,791.61,396.056158499995,444.09706349206346,0.0017198954444444445,0.0017200655555555556
233302,11,128,64,1,192,64,19,1,1,2,8,4,4,1,sage,True,12,24,1,5.129865e-05,126,46,233302,194.59,71.54192006428572,126.30999999999999,0.0017274622222222223,0.0017174196666666667
233492,11,128,64,1,192,64,19,3,1,4,8,4,8,1,sage,True,12,24,1,5.250411e-05,294,194,233492,331.82,65.25398197337663,303.93333333333334,0.001733774888888889,0.0017205606666666669
234023,11,128,64,1,192,256,19,2,1,2,4,4,8,1,sage,True,12,24,1,7.256403e-05,246,122,234023,288.07,90.07038272272727,245.83904761904765,0.001731454888888889,0.001717639888888889
234865,11,128,64,1,192,128,19,4,1,4,8,2,4,1,sage,False,12,24,1,8.064594e-05,212,86,234865,312.66,86.97818390908981,204.75809523809522,0.0017154953333333332,0.0017341315555555554
234951,11,128,64,1,192,256,19,1,1,4,8,8,2,1,sage,False,12,24,1,7.504155e-05,182,44,234951,219.6,90.57945025000001,178.97833333333332,0.001719513888888889,0.001733136111111111
235166,11,128,64,1,192,256,19,4,1,2,8,4,8,1,sage,False,12,24,1,8.409582e-05,406,258,235166,461.5,87.9861036,407.95,0.0017109598888888889,0.0017203875555555554
235189,11,128,64,1,192,256,19,4,1,4,8,2,4,1,sage,False,12,24,1,0.00013541778,392,86,235189,402.23,109.24358140909094,401.3,0.001718966,0.0017216943333333333
236224,11,128,64,2,192,64,19,1,1,4,2,2,4,1,sage,False,12,24,1,0.0001363035599999,160,46,236224,293.42,157.20475296425533,180.56055555555554,0.0017390845555555555,0.0017112148888888889
236774,11,128,64,2,192,128,19,4,1,2,4,2,8,1,sage,False,12,24,1,0.00016569081,404,246,236774,561.25,189.93810589285036,399.4733333333333,0.0017317256666666667,0.001714732111111111
23715,11,128,64,1,192,128,19,1,1,8,4,2,2,1,gcn,True,12,24,1,8.058267e-05,128,32,23715,233.09,89.31678068181708,131.88,0.0017187475555555554,0.001737667888888889
237491,11,128,64,3,192,64,19,4,1,8,8,8,8,1,sage,True,12,24,1,0.0001189809,724,546,237491,745.4,128.9008034999925,724.0,0.0017265287777777777,0.0017287184444444445
23958,11,128,64,1,192,128,19,4,1,8,4,2,2,1,gcn,True,12,24,1,0.00013316004,188,44,23958,330.83,110.55477155194694,191.49166666666665,0.0017099646666666668,0.0017218692222222222
240099,11,128,64,4,192,64,19,1,1,2,4,8,2,1,sage,False,12,24,1,0.00054647964,270,64,240099,453.65,570.83467725,309.08354978354976,0.0017213647777777777,0.001723708888888889
240337,11,128,64,4,192,64,19,4,1,2,4,2,4,1,sage,False,12,24,1,0.00055410867,336,106,240337,706.28,572.36048325,345.4297619047619,0.0017292557777777778,0.0017234184444444446
240472,11,128,64,4,192,128,19,1,1,8,4,2,4,1,sage,False,12,24,1,0.00015673644,564,358,240472,659.06,194.61974099999998,584.0039285714286,0.0017375923333333332,0.0017197392222222223
241557,11,128,128,1,384,128,19,3,1,2,4,8,2,1,sage,True,12,24,1,0.00012884769,206,44,241557,346.26,138.6882351537675,195.675,0.0017220583333333332,0.0017329686666666668
244785,11,128,128,2,384,256,19,3,1,2,2,4,2,1,sage,False,12,24,1,0.00047993292,312,40,244785,362.49,419.7122721408976,309.98723443223446,0.0017257572222222222,0.0017350662222222223
244911,11,128,128,2,384,256,19,4,1,4,8,4,2,1,sage,False,12,24,1,0.00035424207,396,104,244911,375.03,334.0655825543673,357.49666666666667,0.0017324845555555554,0.0017228135555555555
24526,11,128,64,1,192,64,19,3,1,8,4,2,4,1,gcn,False,12,24,1,6.450543e-05,152,70,24526,276.21,74.16503621753246,143.86666666666667,0.001717266,0.0017151482222222223
246528,11,128,128,3,384,128,19,4,1,4,8,2,2,1,sage,False,12,24,1,0.00027439866,356,132,246528,471.17,292.2078007977972,391.015873015873,0.00172909,0.0017215973333333332
246641,11,128,128,3,384,256,19,1,1,8,8,4,8,1,sage,False,12,24,1,0.00013875111,580,322,246641,564.79,156.94002557486567,594.9,0.0017288386666666667,0.001720589
247267,11,128,128,4,384,128,19,1,1,8,2,2,4,1,sage,True,12,24,1,0.00023577066,570,326,247267,599.02,245.91811349999747,584.5539285714286,0.0017203574444444444,0.0017310094444444445
247538,11,128,128,4,384,256,19,1,1,2,2,2,8,1,sage,True,12,24,1,0.0007175817,420,62,247538,430.41,762.2059810499921,386.9504761904762,0.0017285222222222223,0.0017266555555555555
248514,11,128,128,4,384,256,19,1,1,2,2,8,2,1,sage,False,12,24,1,0.0007293366,412,56,248514,538.39,763.3093765499922,435.74373015873016,0.0017223605555555556,0.001719133111111111
249354,11,128,256,1,768,128,19,3,1,4,4,2,2,1,sage,True,12,24,1,0.00024436539,184,32,249354,255.16,215.7390791394925,223.7666666666667,0.0017211344444444446,0.001728409
249839,11,128,256,1,768,64,19,1,1,4,2,8,8,1,sage,False,12,24,1,0.00017782866,192,86,249839,213.22,205.64154612499829,186.45,0.0017344746666666667,0.0017211084444444444
249874,11,128,256,1,768,64,19,1,1,8,4,8,4,1,sage,False,12,24,1,0.00012738582,182,54,249874,223.96,155.8846861249977,191.4,0.001733750888888889,0.0017267515555555554
250090,11,128,256,1,768,64,19,4,1,4,4,8,4,1,sage,False,12,24,1,0.00013456863,242,102,250090,308.29,155.8846861249977,220.55,0.0017175753333333332,0.001736889
250643,11,128,256,1,768,256,19,3,1,4,2,2,8,1,sage,False,12,24,1,0.00023813829,400,166,250643,367.21,264.77564819999805,428.7166666666666,0.0017237453333333332,0.0017423215555555556
251179,11,128,256,2,768,128,19,1,1,8,8,8,4,1,sage,True,12,24,1,0.00014493825,422,190,251179,410.77,200.06291478654822,406.51583333333326,0.0017188322222222222,0.0017250422222222222
